
 03.02.2022 10:00 SAATINE AIT SNAPSHOT FULL TEIAS DOSYASIDIR.


 The Saved Case in file C:\Users\erdidogan\Downloads\20220203_1000_SN4_TR0.sav was saved on THU, FEB 03 2022  11:30

 The following option settings are changed to the settings contained in the Saved Case File:

 ** VOLTAGE OUTPUT UNITS option setting set to KILOVOLTS

 ** VOLTAGE INPUT UNITS option setting set to KILOVOLTS

 ** SHORT CIRCUIT UNITS option setting set to PHYSICAL UNITS

 ** SHORT CIRCUIT IMPEDANCE UNITS option setting set to PHYSICAL UNITS

 ** SHORT CIRCUIT COORDINATES option setting set to POLAR

 ** SHORT CIRCUIT IMPEDANCE COORDINATES option setting set to POLAR

 ** TRANSFORMER PERCENT LOADING UNITS option setting set to CURRENT

----------------------------------------------------------------------------------------------------------
TEMEL DURUM GÜÇ AKIÞI
----------------------------------------------------------------------------------------------------------
     From Bus  To Bus             From Name               To Name  ID  Power Flow(%)  Power Flow(MVA)   RATEA
280    212121  214621          YARIMCA1              TUPRAS        1            3.07           7.6750   250.0
281    210411  210511          ADA1DGKC              ADA2DGKC      1            2.81          58.1670  2070.0
282    213522  213621          FORD                  KARAMURSEL    1            2.76           9.2736   336.0
283    210322  213921          ADAPAZARI             TOYOTASA      1            2.19           5.4750   250.0
284    210322  216021          ADAPAZARI             GEYVERES      1            1.44           3.6000   250.0
285    215721  222021          HABASBILECIK          YENISEHIR     1            1.43           2.5740   180.0
286    213822  222221          PAMUKOVA              PASALAR       1            1.40           3.5000   250.0
287    233610  234210          ZETES3                BARTINOSB     1            1.16          28.7680  2480.0
288    233611  234211          ZETES3                BARTINOSB     1            0.94          23.3120  2480.0
289    226110  290510          GOYNUK                GOYNUKSANAL   1            0.87          11.8320  1360.0
290    229021  231121          YIGILCACIMEN          OSMANCA       1            0.29           0.9744   336.0
291    221421  228722          ORHANELITES           ORHANELI      1            0.00           0.0000   336.0
292    221421  228721          ORHANELITES           ORHANELI      1            0.00           0.0000   336.0
----------------------------------------------------------------------------------------------------------



----------------------------------------------------------------------------------------------------------
Iteration limit exceeded
Guc akisi cozulemeyen ariza: 220010 - 220021, BURSADG A-OTR-1 - BURSADG A-OTR-1 (1 )
----------------------------------------------------------------------------------------------------------



----------------------------------------------------------------------------------------------------------
Iteration limit exceeded
Guc akisi cozulemeyen ariza: 210311 - 231110, ADAPAZARI    - OSMANCA      (1 )
----------------------------------------------------------------------------------------------------------

 Messages for api FDNS
 9 buses in island(s) without a swing bus--use activity TREE   (001741)



---------------------------------------------------------------------------------------------------------------------------------
Servis harici olmasi durumunda radyal baglanti nedeniyle inkitaya neden olan ariza: 212621 - 216722, HEREKE       - GEBZEKIMYA   (1 )
Inkitaya giden bara numaralari:
[212621, 212622, 212721, 212722]
--------------------------------------------------------------------------------------------------------------------------------------



----------------------------------------------------------------------------------------------------------
Iteration limit exceeded
Guc akisi cozulemeyen ariza: 226311 - 290510, AKSAGOYNUK   - GOYNUKSANAL  (1 )
----------------------------------------------------------------------------------------------------------

 Messages for api FDNS
 10 buses in island(s) without a swing bus--use activity TREE   (001741)



---------------------------------------------------------------------------------------------------------------------------------
Servis harici olmasi durumunda radyal baglanti nedeniyle inkitaya neden olan ariza: 214822 - 216722, MAKINAOSB    - GEBZEKIMYA   (1 )
Inkitaya giden bara numaralari:
[212621, 212622, 212721, 212722, 216722]
--------------------------------------------------------------------------------------------------------------------------------------

 Messages for api FDNS
 5 buses in island(s) without a swing bus--use activity TREE   (001741)



---------------------------------------------------------------------------------------------------------------------------------
Servis harici olmasi durumunda radyal baglanti nedeniyle inkitaya neden olan ariza: 210321 - 213021, ADAPAZARI    - YARIMCA2     (1 )
Inkitaya giden bara numaralari:
[213021]
--------------------------------------------------------------------------------------------------------------------------------------

 Messages for api FDNS
 5 buses in island(s) without a swing bus--use activity TREE   (001741)



---------------------------------------------------------------------------------------------------------------------------------
Servis harici olmasi durumunda radyal baglanti nedeniyle inkitaya neden olan ariza: 212621 - 212721, HEREKE       - NUHCIMENTO   (1 )
Inkitaya giden bara numaralari:
[212721, 212722]
--------------------------------------------------------------------------------------------------------------------------------------
Iteration limit exceeded
Guc akisi cozulemeyen ariza: bara no 210561, generator ismi ADADGKC     

------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
N-1 DURUMU GÜÇ AKIÞI
    Kýsýt                                                        Ýzlenen Techizat                                                                                       
     Type From Bus  To Bus        From Name          To Name  ID         From Bus  To Bus          From Name            To Name  ID Power Flow(%) Power Flow(MVA)  RATEA
0   BANK:   210311  210321      ADAPAZARI B      ADAPAZARI B  1            214210  214221    KOCAELI B-OTR-3    KOCAELI B-OTR-3  2         101.36         253.400  250.0
1   BANK:   210311  210321      ADAPAZARI B      ADAPAZARI B  1            214210  214221    KOCAELI A-OTR-1    KOCAELI A-OTR-1  1         101.36         253.400  250.0
2    EIH:   214210  214810     KOCAELI          MAKINAOSB     1            214210  214221    KOCAELI A-OTR-1    KOCAELI A-OTR-1  1          99.10         247.750  250.0
3    EIH:   214210  214810     KOCAELI          MAKINAOSB     1            214210  214221    KOCAELI B-OTR-3    KOCAELI B-OTR-3  2          99.10         247.750  250.0
4    EIH:   210621  214221     HYUNDAI          KOCAELI       1            214811  214822  MAKINAOSB B-OTR-3  MAKINAOSB B-OTR-3  1          98.30         245.750  250.0
5    EIH:   210621  212422     HYUNDAI          ENJKOSEKOY    1            214811  214822  MAKINAOSB B-OTR-3  MAKINAOSB B-OTR-3  1          96.42         241.050  250.0
6    EIH:   230010  231110     BOLUCEK          OSMANCA       1            217321  230021       ALAPLI             BOLUCEK       1          96.32         173.376  180.0
7    EIH:   210310  214210     ADAPAZARI        KOCAELI       1            210311  210321  ADAPAZARI B-OTR-4  ADAPAZARI B-OTR-4  2          96.01         240.025  250.0
8    EIH:   210111  214310     TEPEOREN         DILISKELESIG  1            214810  214821  MAKINAOSB A-OTR-1  MAKINAOSB A-OTR-1  1          95.98         239.950  250.0
9   BANK:   210110  210121       TEPEOREN A       TEPEOREN A  2            211211  211221     KARTAL B-OTR-4     KARTAL B-OTR-4  1          94.82         237.050  250.0
10   OTR:   214210  214221  KOCAELI A-OTR-1  KOCAELI A-OTR-1  1            214210  214221    KOCAELI B-OTR-3    KOCAELI B-OTR-3  2          94.68         236.700  250.0
11   OTR:   214210  214221  KOCAELI B-OTR-3  KOCAELI B-OTR-3  2            214210  214221    KOCAELI A-OTR-1    KOCAELI A-OTR-1  1          94.68         236.700  250.0
12   EIH:   210310  214210     ADAPAZARI        KOCAELI       1            210311  210321  ADAPAZARI B-OTR-3  ADAPAZARI B-OTR-3  1          94.51         236.275  250.0
13   EIH:   210111  214310     TEPEOREN         DILISKELESIG  1            214321  214821       DILISKELESIG       MAKINAOSB     1          92.14         230.350  250.0
14   EIH:   214310  290310     DILISKELESIG     DCELIKSANAL   1            214810  214821  MAKINAOSB A-OTR-1  MAKINAOSB A-OTR-1  1          92.08         230.200  250.0
15   EIH:   210111  214310     TEPEOREN         DILISKELESIG  1            210122  211822       TEPEOREN           GEBZEOSB      1          90.58         226.450  250.0
16   EIH:   210111  214310     TEPEOREN         DILISKELESIG  1            214811  214822  MAKINAOSB B-OTR-3  MAKINAOSB B-OTR-3  1          90.21         225.525  250.0
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
